Event	ID	Name			Wwise Object Path	Notes
	15662850	UI_Button_Up			\Default Work Unit\UI\UI_Button_Up	
	18309885	UI_Button_Enter			\Default Work Unit\UI\UI_Button_Enter	
	156563189	UI_Button_Down			\Default Work Unit\UI\UI_Button_Down	
	750089663	UI_Menu_Teleport			\Default Work Unit\UI\UI_Menu_Teleport	
	808893336	UI_QuestRoll_Close			\Default Work Unit\UI\UI_QuestRoll_Close	
	844130829	Quest_CompleteCollection			\Default Work Unit\UI\Quest_CompleteCollection	
	949395292	UI_QuestRoll_Open			\Default Work Unit\UI\UI_QuestRoll_Open	
	2199611969	UI_Inventory_Open			\Default Work Unit\UI\UI_Inventory_Open	
	2278290679	UI_Inventory_Close			\Default Work Unit\UI\UI_Inventory_Close	
	2325560497	UI_Button_Exit			\Default Work Unit\UI\UI_Button_Exit	
	2792117052	UI_QuestRoll_Hide			\Default Work Unit\UI\UI_QuestRoll_Hide	
	3240473869	Quest_Complete			\Default Work Unit\UI\Quest_Complete	
	3699139167	UI_QuestRoll_Show			\Default Work Unit\UI\UI_QuestRoll_Show	
	3749307760	UI_Inventory_Roll			\Default Work Unit\UI\UI_Inventory_Roll	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	45930585	BAS_Inventory_Close	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_Inventory_Close_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Inventory\BAS_Inventory_Close		46624
	308610927	BAS_Inventory_Scroll	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_Inventory_Scroll_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Inventory\BAS_Inventory_Scroll		53956
	355218689	BAS_Button_Over	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_Button_Over_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Buttons\BAS_Button_Over		21240
	404257122	BAS_Button_Enter	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_Button_Enter_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Buttons\BAS_Button_Enter		117424
	411004490	BAS_Button_Open	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_Button_Open_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Buttons\BAS_Button_Open		56256
	443239874	Achievements	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\Achievements_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\QuestRoll\Achievements		991296
	451357809	Complete	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\Achievements_9CF74EDB.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\QuestRoll\Complete		183520
	497085754	BAS_Inventory_Open	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_Inventory_Open_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Inventory\BAS_Inventory_Open		45368
	498027075	BAS_QuestRoll_Show	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_QuestRoll_Open_FDB5D30B.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\QuestRoll\BAS_QuestRoll_Show		52496
	508404528	BAS_QuestRoll_Hide	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_QuestRoll_Close_54625F0C.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\QuestRoll\BAS_QuestRoll_Hide		56760
	569655150	BAS_QuestRoll_Close	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_QuestRoll_Close_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\QuestRoll\BAS_QuestRoll_Close		112326
	713298018	BAS_Button_Close	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_Button_Close_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Buttons\BAS_Button_Close		62500
	944782391	BAS_QuestRoll_Open	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_QuestRoll_Open_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\QuestRoll\BAS_QuestRoll_Open		104478
	997981478	BAS_Button_Teleport	C:\Users\Justo\Documents\GitHub\WWisePractica_DaniSalvaJusto\WWise sonorisation\.cache\Windows\SFX\BAS_Button_Teleport_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Buttons\BAS_Button_Teleport		345428

